date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:36	63811/63811	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:18:32%20GMT	http://kiviki.in/robots.txt		(from )
13:48:36	23568/23568	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2008:18:33%20GMT	http://kiviki.in/	C:/My%20Web%20Sites/kiviki2/kiviki.in/index.html	(from )
13:48:36	5764/5764	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Apr%202021%2020:33:50%20GMT	http://kiviki.in/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/favicon/apple-touch-icon.png	(from http://kiviki.in/)
13:48:36	1292/1292	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Apr%202021%2020:33:50%20GMT	http://kiviki.in/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/favicon/favicon-32x32.png	(from http://kiviki.in/)
13:48:37	769/769	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Apr%202021%2020:33:50%20GMT	http://kiviki.in/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/favicon/favicon-16x16.png	(from http://kiviki.in/)
13:48:37	438/438	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2020:38:58%20GMT	http://kiviki.in/images/favicon/site.webmanifest	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/favicon/site.html	(from http://kiviki.in/)
13:48:37	6690/6690	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2029%20Apr%202021%2020:33:50%20GMT	http://kiviki.in/images/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/kiviki2/kiviki.in/images/favicon/safari-pinned-tab.svg	(from http://kiviki.in/)
13:48:38	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2008:18:38%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/kiviki2/fonts.gstatic.com/index.html	(from http://kiviki.in/)
13:48:38	2252/2252	---MC-	200	added ('OK')	text/css	date:Thu,%2030%20Dec%202021%2008:18:38%20GMT	https://fonts.googleapis.com/css2?family=Handlee&family=Inter:wght@100;200;300;400;500;600;700;800;900&display=swap	C:/My%20Web%20Sites/kiviki2/fonts.googleapis.com/css27e36.css	(from http://kiviki.in/)
13:48:41	160409/160409	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2018:18:14%20GMT	http://kiviki.in/css/bootstrap.min.css	C:/My%20Web%20Sites/kiviki2/kiviki.in/css/bootstrap.min.css	(from http://kiviki.in/)
